ds,yhat,yhat_lower,yhat_upper
1960-01-01,-98510509507.51836,-254898437422.82974,57332701151.2808
1961-01-01,-77284025176.34326,-238125725657.97427,74923191807.51526
1962-01-01,-53964572722.05191,-218303530678.26956,98507349738.20987
1963-01-01,-33357231857.61383,-195308570319.45593,120024010758.05136
1964-01-01,-15460590881.878677,-168853266382.978,147100429362.8696
1965-01-01,5765893442.640358,-153157476934.84677,155628149500.67462
1966-01-01,29085345890.294807,-129508975257.79109,197155151228.4234
1967-01-01,49692686756.332855,-115704081191.77936,206777394821.1912
1968-01-01,67589327733.66429,-84137011208.73257,223219261403.1222
1969-01-01,88815812069.41772,-73435003224.25673,243822793398.96014
1970-01-01,112135264528.27042,-48484833121.15232,274926649314.9996
1971-01-01,132743644142.83693,-23491927396.496223,290972033725.4628
1972-01-01,150641323868.69928,-18202258127.078377,311985735837.71173
1973-01-01,171869490978.28125,7747533738.555749,325130398097.6212
1974-01-01,195190621613.2183,32097449481.642742,361521672724.29376
1975-01-01,215800643575.35995,61456134412.91454,376358179921.73883
1976-01-01,233699965648.80212,56728435058.81384,389059210838.03784
1977-01-01,254938157004.0947,96226257567.96556,422263314008.0561
1978-01-01,278269284496.0926,114792717241.35414,443949905172.52246
1979-01-01,298899468900.20276,156195669722.54175,457534594809.7724
1980-01-01,316818953415.60565,160296581056.48108,474336875337.0822
1981-01-01,338079845350.85266,172807014647.9651,478732150269.1424
1982-01-01,361433611399.35223,206848088742.81287,512964739080.37866
1983-01-01,382087094587.18744,223502531235.1237,532165265458.4447
1984-01-01,400029877886.3092,245293480388.46396,557903312318.9265
1985-01-01,421326110742.3979,258003452326.27127,573189945592.0013
1986-01-01,444715121151.849,287017770885.05005,602576473591.3096
1987-01-01,465392019973.7568,310787327103.38965,624752193203.6448
1988-01-01,483371060056.8875,320231765809.31647,640234333188.2002
1989-01-01,504680169244.13086,358249494378.3046,672277323948.1984
1990-01-01,528101893516.818,367573503604.36926,687360319833.9976
1991-01-01,548811506201.94977,395838836587.5649,716824387431.5033
1992-01-01,566856553363.9113,407547283312.8903,731496202616.8046
1993-01-01,588231850471.2812,413069806212.37213,755063512778.1509
1994-01-01,611722184726.4229,437129618789.1094,768070278271.8662
1995-01-01,632500407394.0142,475245311238.35535,783717046092.7161
1996-01-01,680095897860.4749,525839366963.1469,836833992458.0255
1997-01-01,731102598390.9988,563775817307.9238,882956001996.2245
1998-01-01,786152217140.6008,626161420512.2238,937348048258.9489
1999-01-01,838489724302.667,690248208183.7952,992594321712.5131
2000-01-01,888147922535.099,723973484450.489,1042422081668.8693
2001-01-01,941222982085.8203,790543034869.3278,1094045000729.7834
2002-01-01,996327742966.5194,843836231318.1686,1161151422317.5803
2003-01-01,1048720392259.6766,872213067022.2621,1207490867738.8057
2004-01-01,1098413049271.606,936486526995.2251,1255557855595.1287
2005-01-01,1151522662009.353,988997842310.1879,1302934186295.0964
2006-01-01,1206638130499.5488,1042025471446.9774,1353146568609.953
2007-01-01,1259041487402.2217,1107975849399.2498,1412167630400.2246
2008-01-01,1308734144410.7334,1153309321723.828,1466987499097.6096
2009-01-01,1361843757145.1003,1204964427847.1162,1520224233859.8386
2010-01-01,1416959225632.3086,1244949223849.7922,1579113304862.4814
2011-01-01,1469362582531.967,1321994958104.165,1635539327636.219
2012-01-01,1519055239546.5562,1359734614258.0684,1679818324967.1636
2013-01-01,1572164852287.0344,1409390641376.1992,1717254146136.1414
2014-01-01,1627280320777.8645,1463397485767.8323,1784009041767.528
2015-01-01,1679683677681.1587,1525660785443.6377,1846783350924.6868
2016-01-01,1729376334695.7585,1562492828244.07,1891822718465.7366
2017-01-01,1782485947436.2014,1626159833146.252,1945220412413.5464
2018-01-01,1837601415927.0508,1679463108591.7224,1999342420165.803
2019-01-01,1890004772830.3347,1725257338295.0955,2057684292774.43
2020-01-01,1939697429844.9446,1765957693536.5964,2103724311621.2605
2021-01-01,1992807042585.4055,1828126474510.531,2162038510590.0225
2022-01-01,2047922511076.2546,1889699024208.2517,2209966681988.6064
2023-01-01,2100325867979.5398,1945805831834.1528,2258907745017.5327
2024-01-01,2150018524994.1711,1992445588334.7175,2316813997395.657
2024-12-31,2197006663147.8643,2048359458849.0193,2355951224901.687
2025-12-31,2241301221742.3955,2078972933163.1113,2410843027310.31
2026-12-31,2282917879275.481,2136258239968.8042,2448999434792.5625
2027-12-31,2321877026372.4155,2148663974388.5845,2478409529779.681
2028-12-31,2407327758297.0464,2248774201826.1777,2556746354957.397
